,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
bhmm::class_re[12],-0.3151397225260071,0.5329376877279889,-1.1994664362715282,0.5019833640012941,5910.9986814263475,4958.507232268773,1.001468182311559,0.007008162312794216,0.0065569859179245476
bhmm::class_re[13],-0.04718732988121491,0.5024876552991351,-0.8685577795902932,0.7412598370661978,5878.608609765193,5251.862868642908,1.0018769533294667,0.00657453268430552,0.006018568750143028
bhmm::class_re[14],0.0010709180908100655,0.5565786455465302,-0.9019672892092421,0.8674623205752828,6160.217840249425,5017.631225348667,1.0000710030680449,0.007138208774858842,0.007256718101441681
bhmm::hyper_log_R0_sd,0.7119295724206475,0.22207332520802378,0.4089421298966534,1.104851006440046,3515.1766445965113,3767.5985950752647,1.0000462176623854,0.003657016143541397,0.0027558941239313457
bhmm::e_alpha_nb,2.15965136542577,0.6252642739141397,1.3266745410525402,3.2622675958536935,7258.436971016606,5726.746836887321,1.0009316321508606,0.007649871325851888,0.008724033077004869
bhmm::flu_alpha_nb,0.921268061568033,0.3200685712699257,0.4808825684310374,1.4921861448661953,5612.488735812737,4488.183787573009,1.0006459254038078,0.004140897220664764,0.003944187434876309
bhmm::mea_alpha_nb,0.953767394243107,0.3179906721903271,0.5483702429609675,1.5206477914218584,7010.206470354879,5776.194828065905,1.000634442373715,0.003956197642778477,0.0051622413257707694
bhmm::class_re_sd,0.8880383485321864,0.2518981268602375,0.5487163820529695,1.329845347008251,2976.5986325643767,3892.694509971044,1.000185894440915,0.004559093113815351,0.0035333434982977715
bhmm::e_log_R0,0.6597467882857925,0.016555328811567224,0.6335179335318635,0.6858959637709834,7783.886690702197,5652.707914560962,1.0006931139054984,0.00018699462733170335,0.00022907665483535018
bhmm::flu_log_R0,1.0480987881973225,0.2547119859483076,0.8679726404205236,1.378551979039091,3478.1743206260753,1791.4854465943881,1.0017918063030915,0.006462524763604871,0.017819454931074712
bhmm::n_log_R0,0.07502176920517611,0.01966076424565707,0.04709863701632424,0.1078495085267105,2465.6051692653336,3770.487043395079,1.0009071860400809,0.0004058714344240333,0.00046281877822362013
bhmm::e_R0,1.93456751120154,0.032017786423403236,1.8842275207123809,1.985550020182411,7783.886690702197,5652.707914560962,1.0006992170565483,0.0003618075491552246,0.00044300487281971276
bhmm::flu_R0,3.028196586383218,2.8231317221076218,2.3820766304991694,3.969150159220128,3478.1743206260753,1791.4854465943881,1.0017918063030915,0.058610986546032834,0.796784020543224
bhmm::n_R0,1.0781171775050986,0.021387101933894887,1.0482253978118625,1.1138801033425016,2465.6051692653336,3770.487043395079,1.0009071860400809,0.00044275993937168805,0.0005479715769951365
bhmm::mea_log_R0,2.1865987583200415,0.09627222070032665,2.0387760376850377,2.344928111515412,8063.983483452068,4962.187128121114,1.0003925143977277,0.0010758459491452,0.0013385221579225548
bhmm::mea_R0,8.94665844698202,0.8771206480849603,7.681201969556342,10.43252272536363,8063.983483452068,4962.187128121114,1.0003925143977277,0.009877396779200446,0.012997932051457016
bhmm::e_mu_obs[0],0.0010000000000000005,1.2555061157382141e-16,0.001,0.001,8000.0,8000.0,,4.8490025901942675e-21,0.0
bhmm::e_mu_obs[1],0.5463772652508863,0.06348858885524933,0.45168743746752665,0.6540821230909323,7834.011076930467,6226.05596059851,0.9999866821107177,0.0007163753259986959,0.0006747709628662113
bhmm::e_mu_obs[2],0.5733118507947628,0.06708769538579959,0.4734059814962767,0.6873221309355559,7837.374589242306,6228.179907935624,0.9999856745782248,0.0007567817063833331,0.0007153660451084468
bhmm::e_mu_obs[3],0.6014349062631746,0.07086428216834967,0.49604205309114935,0.7220270845897775,7841.296677672877,6203.6494843727105,0.9999861098908304,0.0007991777809722938,0.0007580864984684015
